item,itemLabel,position,positionLabel,startDate,endDate,psid
Q102182713,Raphael Magyezi,Q113130239,Minister of Local Government,2021-06-09,,Q102182713-3ACA5179-54DF-44FB-8273-2B5CFB53F739
Q1026465,Rebecca Kadaga,Q113130229,Minister for East African Community Affairs,2021-06-09,,Q1026465-3CB5F6C3-9265-43A6-8C51-7F6FCDA58370
Q1026465,Rebecca Kadaga,Q104668229,First Deputy Prime Minister,2021-06-21,,Q1026465-552A5321-2483-4A61-9B30-186E03C4C240
Q105759549,Beatrace Akori,Q113130244,Minister of State for Economic Monitoring,2022-07-21,,Q105759549-B55DEA1A-4027-401E-A294-4F4E85214A63
Q105883547,Victoria Rusoke,Q113130372,State Minister for Local Government,2021-06-09,,Q105883547-1ECE9E38-62A4-4FE7-8E1E-74150DC69445
Q105942528,Rose Akello,Q113130371,State Minister for Ethics and Integrity,2021-06-09,,Q105942528-E5BFAE75-EF74-43BA-879B-F46489D683B8
Q105951053,Sarah Mateke Nyirabashitsi,Q113130246,Minister of State for Youth and Children Affairs,2021-06-09,,Q105951053-3FA092D6-EDD2-48E6-89C1-0AEAB5355249
Q106337242,Hellen Asamo,Q113130357,State Minister for the Disabled,2021-06-09,,Q106337242-AEEA0627-C342-4B4B-81BB-FA5393B35C84
Q107169463,Kiryowa Kiwanuka,Q28404009,Attorney General,2021-06-09,,Q107169463-5590ECA5-2B48-429F-A814-5B986F27C71A
Q108436234,John Mulimba,Q113130362,State Minister of Foreign Affairs for Regional Affairs,2021-06-09,,Q108436234-B7F01842-CB62-4E13-B096-D9E8632AB237
Q109974085,Milly Babirye Babalanda,Q113130249,Minister of the Presidency,2021-06-09,,Q109974085-A8EBDFF2-7C08-44F6-BBBE-F05456B7C048
Q111049857,Amos Lugoloobi,Q113130340,State Minister of Finance for Planning,2021-06-09,,Q111049857-855C3A4C-8AB4-4DA3-991D-5A0571EA7FD6
Q111181361,Huda Oleru,Q113130412,State Minister for Veterans Affairs,2021-06-09,,Q111181361-F4840B79-AC0C-4439-B743-F5E6C34CF660
Q111293515,Misi Kabanda,Q113130237,Minister of Kampala Capital City Authority,2021-06-09,,Q111293515-B0ECEE01-BE89-4A0E-B86B-06C92BD7718E
Q111319472,Diana Nankunda Mutasingwa,Q113130203,Minister of State in the Office of the Vice President,2021-06-09,,Q111319472-FC4BF6A1-D82B-478F-B334-CA2727D036FC
Q111322940,Alice Kaboyo,Q113130339,State Minister for Luweero Triangle and Rwenzori Region,2021-06-09,,Q111322940-CA73D77C-FEDF-4438-87E7-1496B80CBFF3
Q111325662,Maggie Magode Ikuya,Q113130366,State Minister for East African Community Affairs,2021-06-09,,Q111325662-76EFE18C-E850-48E8-AA0F-E17F59A478D0
Q111327988,Margaret Muhanga,Q113130415,State Minister of Health for Primary Care,2021-06-09,,Q111327988-CF81FC75-7227-4AF4-9D63-8DB90F383893
Q111536412,Grace Mary Mugasa,Q113130352,State Minister for Public Service,2021-06-09,,Q111536412-6957BC15-0588-47C1-950B-0D9AAA537E0E
Q113130474,Clement Kenneth Ongalo Obote,Q113130528,State Minister for Teso Affairs,2021-06-09,,Q113130474-78CFAAE1-030A-44EC-9BB2-28064F417513
Q113130475,Francis Mwebesa,Q56241849,"Minister of Trade, Industry and Cooperatives",2021-06-09,,Q113130475-7317051C-632E-4572-B45E-B82104AA8214
Q113130476,Fred Bwiino Kyakulaga,Q113130407,State Minister for Agriculture,2021-06-09,,Q113130476-1F35B6EB-3BD7-4DE9-9231-022E9250CE2F
Q113130510,Fred Byamukama,Q113130408,State Minister for Transport,2021-06-09,,Q113130510-66D93E30-DEA0-453F-A7E5-16BD1180288A
Q113130511,Gidudu Mafaabi,Q113130409,State Minister for the Elderly,2021-06-09,,Q113130511-475ABFD5-A3CD-4EDB-9845-E35A3E059697
Q113130512,Henry Musaasizi,Q113130410,State Minister of Finance for General Duties,2021-06-09,,Q113130512-FF2A7C82-AD8F-4599-8028-A64DBCCED223
Q113130513,Kabuye Kyofatogabye,Q113130413,State Minister for Kampala Capital City Authority,2021-06-09,,Q113130513-6A8F8177-EC02-4F06-A9F5-D8E9A073454D
Q113130514,Kawoya Bangirana,Q113130414,State Minister of Health for General Duties,2021-06-09,,Q113130514-3913B19E-34D7-40AF-A995-65FF688AC25C
Q113130515,Martin Mugarra,Q113130416,State Minister for Tourism,2021-06-09,,Q113130515-D9745AAE-AE5A-43C2-B154-DA5C31682D61
Q113130517,Sam Mayanja,Q113130417,State Minister for Lands,2021-06-09,,Q113130517-258F48BC-3644-4633-8724-AD6C50C65618
Q113130518,Sidronius Opolot Okasai,Q113130420,State Minister for Energy,2021-06-09,,Q113130518-6E46B689-3605-440A-ADF5-6FBBB7EAC9C6
Q1173623,David Bahati,Q113130345,State Minister for Trade,2021-06-09,,Q1173623-71A7B068-5755-459A-BF2D-0F09243C72AC
Q16145569,Jim Muhwezi,Q108441300,Minister of Security,2021-06-09,,Q16145569-A498B87F-4BB1-4A6E-B6D8-3317519B89BC
Q16186459,Bright Rwamirama,Q113130343,State Minister for Animal Industry,2021-06-09,,Q16186459-7EE4BC78-4D45-48B1-B698-7EC93546F60A
Q16196173,David Muhoozi,Q113130346,State Minister of Internal Affairs,2021-06-09,,Q16196173-709A4850-A17C-4DC1-9262-6F5D4221725A
Q16200545,Jennifer Namuyangu,Q113130360,State Minister for Bunyoro Affairs,2021-06-09,,Q16200545-58A171FB-EEBD-4578-90D0-E8170C762F76
Q16875907,Chris Baryomunsi,Q113130200,Minister of Information and Communications Technology,2021-06-09,,Q16875907-90FA34F3-5BC3-4204-97A2-1CBC6A2F8C01
Q1949128,Moses Ali,Q104668229,Second Deputy Prime Minister,2021-06-09,,Q1949128-1A14E517-C6AF-45DB-8ABD-143E3193C9F1
Q1949128,Moses Ali,Q113130227,Deputy Leader of Government Business in Parliament,2021-06-09,,Q1949128-F3541B17-43B0-4700-81D9-C442EE014DD3
Q19609598,Evelyn Anite,Q113130349,State Minister of Finance for Investment and Privatization,2021-06-09,,Q19609598-BFF08675-1770-4695-ADD4-368535018786
Q19666374,Vincent Ssempijja,Q113130232,Minister of Defence and Veterans Affairs,2021-06-09,,Q19666374-5C44C77A-CD0C-4479-9D12-AD287C25810D
Q24565843,Sam Cheptoris,Q113130247,Minister of Water and Environment,2021-06-09,,Q24565843-0B54EF87-C118-48EB-A967-C86DDFD791EF
Q24572616,Jane Aceng,Q112658314,Minister of Health,2016-06-06,,Q24572616-83068333-4980-d316-5e35-8b7edff80b31
Q24572619,Betty Amongi,Q113130195,"Minister of Gender, Labour and Social Development",2021-06-09,,Q24572619-CD2FCA60-48E2-41B2-B351-ECACE71C3FBC
Q24572652,Grace Kwiyucwiny,Q113130351,State Minister for Northern Uganda,2021-06-09,,Q24572652-689B2E3D-A1DA-40B6-AFAB-222D67C8C2AD
Q24572655,Joyce Moriku,Q113130363,State Minister for Primary Education,2021-06-09,,Q24572655-E5C0378E-E5D2-41D6-96C5-60D1063FED2F
Q24572733,Persis Namuganza,Q113130369,State Minister for Housing,2021-06-09,,Q24572733-41A38F5B-6221-4D77-998E-256CF6A6966D
Q24572738,Mary Goretti Kitutu,Q65988793,Minister for Karamoja Affairs,2021-06-09,,Q24572738-9C1A21DB-5210-4B69-B3C3-7BE51804CEC4
Q24572841,Haruna Kasolo Kyeyune,Q113130353,State Minister of Finance for Microfinance,2021-06-09,,Q24572841-57D3B1AC-1A57-40CB-A318-FBB06E89A274
Q24668795,Peace Mutuuzo,Q113130368,State Minister for Gender and Culture,2021-06-09,,Q24668795-3A063A0A-7685-45A6-8930-ED8E1A71A5BF
Q24851611,Frederick Ngobi Gume,Q113130350,State Minister for Cooperatives,2021-06-09,,Q24851611-470D95E4-AD85-48DC-BBEB-D55DADADED88
Q24851618,Kania Obiga,Q113130365,State Minister for Urban Planning,2021-06-09,,Q24851618-7457EC5D-82FF-4A26-8E8A-607CC2A9D4F6
Q24851651,Charles Okello Engola,Q113130344,"State Minister for Labor, Employment and Industrial Relations",2021-06-09,,Q24851651-E92F89AE-7E7A-4BCD-9F3B-870D1679BA71
Q27973946,Jacob Oboth-Oboth,Q113130359,State Minister for Defence,2021-06-09,,Q27973946-77B9E29B-1A20-4457-8EC2-808DC199C70A
Q3784984,Henry Oryem Okello,Q113130358,State Minister of Foreign Affairs for International Affairs,2021-06-09,,Q3784984-EB3911DB-208A-40B1-9568-B05651AA37CF
Q4280983,Norbert Mao,Q99030163,Minister of Justice and Constitutional Affairs,2022-07-21,,Q4280983-060471CB-46D4-4C40-B186-F56141140EB1
Q4877118,Beatrice Atim Anywar,Q113130342,State Minister for the Environment,2021-06-09,,Q4877118-4C9E9DF5-37AD-4932-915F-C688DEF5E244
Q52615829,Judith Nabakooba,Q113130238,"Minister of Lands, Housing and Urban Development",2021-06-09,,Q52615829-AC5A563B-F70B-4C43-8211-2BD318C8AAB0
Q54233287,Agnes Nandutu,Q113130395,State Minister for Karamoja,2021-06-09,,Q54233287-F27627C0-8281-4ADF-AAF6-D1C468D058CA
Q5490025,Frank Tumwebaze,Q113130231,"Minister of Agriculture, Animal Industry and Fisheries",2021-06-09,,Q5490025-9AAE82AC-4948-4579-A3B6-B4672FE45DD0
Q56064497,Joyce Ssebugwawo,Q113130364,State Minister for Information Technology and Communications,2021-06-09,,Q56064497-9C07A303-036C-4412-8A88-23271E1B100F
Q5761037,Hillary Onek,Q113130233,Minister of Disaster Preparedness and Refugees,2021-06-09,,Q5761037-B14C30CB-AF6E-4C37-802D-9E0A15A0C6B2
Q57825198,Hellen Adoa,Q113130355,State Minister for Fisheries,2021-06-09,,Q57825198-2A4AC733-56AE-4613-B5D0-B305CDD7B983
Q58041073,Esther Davina Anyakun,Q113130348,State Minister for Disaster Preparedness and Refugees,2021-06-09,,Q58041073-60F16807-32D8-4B27-B417-42BA27143021
Q6153522,Janet Museveni,Q113130234,Minister of Education and Sports,2021-06-09,,Q6153522-6155D945-A664-48A3-BD2F-F2DEFD38712D
Q6176542,Jeje Odongo,Q24262601,Minister of Foreign Affairs,2021-06-09,,Q6176542-27B1C9BB-82EF-416C-A90D-B6370DE6AADC
Q6226097,John Chrysostom Muyingo,Q113130361,State Minister for Higher Education,2021-06-09,,Q6226097-0756742D-B1D1-4DE2-9C73-DAC8F6908970
Q62481397,Robinah Nabbanja,Q2462330,Prime Minister,2021-06-21,,Q62481397-28a0e090-4f28-6203-5937-35b97b9563b3
Q62481397,Robinah Nabbanja,Q113130228,Leader of Government Business in Parliament,2021-06-09,,Q62481397-69F3CC88-21E5-4201-8327-8DBBDC8B6683
Q6318370,Justine Lumumba Kasule,Q113130230,Minister in Charge of General Duties in the Office of the Prime Minister,2021-06-09,,Q6318370-76277A04-5A37-4B24-BBAE-7056FD7E6FC6
Q6346972,Kahinda Otafiire,Q113130236,Minister of Internal Affairs,2021-06-09,,Q6346972-91D428D1-F3DD-45F4-858D-56ECEA3DD24B
Q6378429,Katumba Wamala,Q113130248,Minister of Works and Transport,2021-06-09,,Q6378429-ED166E40-E5DA-4B2F-B885-9FB7DC00ED05
Q6702541,Lukia Isanga Nakadama,Q104668229,Third Deputy Prime Minister,2021-06-09,,Q6702541-89BEC3F5-BD56-4946-84B5-A5A57011A7DE
Q6702541,Lukia Isanga Nakadama,Q113130250,Minister without Portfolio,2021-06-09,,Q6702541-E492E232-C566-42D3-AF91-41B6CAFA713C
Q6787393,Matia Kasaija,Q98966310,"Minister of Finance, Planning and Economic Development",2015-03-01,,Q6787393-0D3E439F-172D-4848-885F-F93660F4F239
Q6939908,Musa Echweru,Q113130367,State Minister for Works,2021-06-09,,Q6939908-FE157D57-616F-4C78-B385-A00506CF820C
Q7175509,Peter Lokeris,Q113130370,State Minister for Minerals,2021-06-09,,Q7175509-23B089AA-F587-4895-9140-D8FCF284354B
Q7383142,Ruth Nankabirwa,Q113130235,Minister of Energy and Minerals,2021-06-09,,Q7383142-FD4DAF94-7905-4E24-9AC7-69BA5E5958BC
Q7815151,Tom Butime,Q113130251,"Minister of Tourism, Wildlife and Antiquities",2021-06-09,,Q7815151-639C2D3F-B4CB-4F61-8F18-38602896D841
Q8023150,Wilson Muruli Mukasa,Q113130241,Minister of Public Service,2021-06-09,,Q8023150-24D30C2C-104C-4916-ACC4-FB25E2DB9540
Q84558223,Peter Ogwang,Q113130347,State Minister for Sports,2022-07-21,,Q84558223-C634489F-AA08-4403-A1DC-606AB4200477
Q84702556,Denis Hamson Obua,Q113130225,Chief Cabinet Whip,2022-07-21,,Q84702556-3E1A7CDE-65CA-47EB-9916-AED2CC07BC28
Q84755125,Jackson Kafuuzi,Q113130226,Deputy Attorney General,2021-06-09,,Q84755125-3ADE1532-B6EB-4B95-85F3-73782556DFBC
Q90916518,Aisha Sekkindi,Q113130338,State Minister for Water Resources,2021-06-09,,Q90916518-9D5A6A9D-711D-4667-B0FC-8EC5DC614262
Q98733574,Monica Musenero,Q113130242,"Minister of Science, Technology and Innovation",2021-06-09,,Q98733574-D94C12EA-CCD5-4817-BAED-73DF4D1CC0E8
